policy,cache_blocks,period,age_low,age_high,share,measured_fp,predicted_cdf_hazard,predicted_che_step
longest_prefix,256,0.5,0.0,0.5,0.1720,0.00000,0.00000,0.00000
longest_prefix,256,0.5,0.5,1.0,0.2337,0.00000,0.00000,0.00000
longest_prefix,256,0.5,1.0,2.0,0.2329,0.00000,0.00000,0.00000
longest_prefix,256,0.5,2.0,5.0,0.2570,0.00000,0.00262,0.00000
longest_prefix,256,0.5,5.0,8.0,0.0702,0.01284,0.03099,0.00000
longest_prefix,256,0.5,8.0,12.0,0.0248,0.04337,0.07691,0.00000
longest_prefix,256,0.5,12.0,20.0,0.0094,0.08016,0.11314,0.00000
longest_prefix,256,0.5,depth 1-2,,0.0633,0.00351,0.00674,0.00640
longest_prefix,256,0.5,depth 3-8,,0.1893,0.00319,0.00647,0.00658
longest_prefix,256,0.5,depth 9+,,0.7473,0.00254,0.00557,0.00558
longest_prefix,256,5.0,0.0,0.5,0.0117,0.00000,0.00000,0.00000
longest_prefix,256,5.0,0.5,1.0,0.0338,0.00000,0.00000,0.00000
longest_prefix,256,5.0,1.0,2.0,0.1049,0.00000,0.00000,0.00000
longest_prefix,256,5.0,2.0,5.0,0.4903,0.00097,0.01324,0.00000
longest_prefix,256,5.0,5.0,8.0,0.2678,0.02369,0.14390,0.00000
longest_prefix,256,5.0,8.0,12.0,0.0761,0.15392,0.47507,0.00000
longest_prefix,256,5.0,12.0,20.0,0.0151,0.42321,0.73701,0.27212
longest_prefix,256,5.0,20.0,inf,0.0004,1.00000,0.81010,0.00000
longest_prefix,256,5.0,depth 1-2,,0.0632,0.02205,0.09727,0.07734
longest_prefix,256,5.0,depth 3-8,,0.1891,0.02345,0.09585,0.08421
longest_prefix,256,5.0,depth 9+,,0.7476,0.02605,0.09137,0.09181
