policy,period,metric,seeds,mean,median,ci_low,ci_high
longest_prefix,0.0,hit_rate,10,0.72366,0.72473,0.72113,0.72588
longest_prefix,0.0,ttft_p99,10,1.01481,0.99264,0.96562,1.07280
longest_prefix,0.0,view_fp_rate,10,0.00000,0.00000,0.00000,0.00000
longest_prefix,0.0,queue_cv,10,0.43789,0.40967,0.34724,0.54732
longest_prefix,5.0,hit_rate,10,0.69638,0.69653,0.69346,0.69958
longest_prefix,5.0,ttft_p99,10,1.11345,1.11957,1.07200,1.15662
longest_prefix,5.0,view_fp_rate,10,0.01783,0.01770,0.01690,0.01870
longest_prefix,5.0,queue_cv,10,0.18579,0.14617,0.14228,0.23789
longest_prefix,30.0,hit_rate,10,0.65441,0.65288,0.64947,0.66011
longest_prefix,30.0,ttft_p99,10,1.26250,1.26740,1.20418,1.31328
longest_prefix,30.0,view_fp_rate,10,0.04913,0.05043,0.04604,0.05176
longest_prefix,30.0,queue_cv,10,0.17262,0.18533,0.12827,0.21855
hybrid,0.0,hit_rate,10,0.60043,0.60047,0.59709,0.60379
hybrid,0.0,ttft_p99,10,1.29031,1.27657,1.23312,1.35110
hybrid,0.0,view_fp_rate,10,0.00000,0.00000,0.00000,0.00000
hybrid,0.0,queue_cv,10,0.09471,0.09317,0.08911,0.09990
hybrid,5.0,hit_rate,10,0.56422,0.56506,0.56152,0.56678
hybrid,5.0,ttft_p99,10,1.55575,1.53394,1.50658,1.61016
hybrid,5.0,view_fp_rate,10,0.05390,0.05448,0.05168,0.05639
hybrid,5.0,queue_cv,10,0.09601,0.09342,0.09058,0.10252
hybrid,30.0,hit_rate,10,0.52792,0.52336,0.52140,0.53444
hybrid,30.0,ttft_p99,10,1.67075,1.66317,1.62088,1.71923
hybrid,30.0,view_fp_rate,10,0.10630,0.10796,0.10168,0.11078
hybrid,30.0,queue_cv,10,0.08257,0.08009,0.07558,0.09068
dualmap,0.0,hit_rate,10,0.72380,0.72305,0.72209,0.72573
dualmap,0.0,ttft_p99,10,1.25674,1.19351,1.15766,1.40903
dualmap,0.0,view_fp_rate,10,0.00000,0.00000,0.00000,0.00000
dualmap,0.0,queue_cv,10,0.57116,0.57945,0.51022,0.63324
dualmap,5.0,hit_rate,10,0.71237,0.71250,0.70912,0.71546
dualmap,5.0,ttft_p99,10,1.16593,1.16881,1.09540,1.24866
dualmap,5.0,view_fp_rate,10,0.01564,0.01570,0.01463,0.01672
dualmap,5.0,queue_cv,10,0.34634,0.38061,0.24183,0.44871
dualmap,30.0,hit_rate,10,0.70017,0.69960,0.69655,0.70439
dualmap,30.0,ttft_p99,10,1.17301,1.18731,1.11614,1.23333
dualmap,30.0,view_fp_rate,10,0.03504,0.03473,0.03307,0.03682
dualmap,30.0,queue_cv,10,0.22751,0.19892,0.17256,0.29059
