zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,130.68,0.00000,0.18028,0.60480,6.78171,0.00000,0.00000,0.00000,0.00194,0.03657,0.12406
nan,longest_prefix,0.5,130.68,0.49916,0.18028,0.60480,6.78171,0.00000,0.00000,0.00000,0.00194,0.03657,0.12406
nan,longest_prefix,1.0,130.68,0.99861,0.18028,0.60480,6.78171,0.00000,0.00000,0.00000,0.00194,0.03657,0.12406
nan,longest_prefix,2.0,130.68,1.50805,0.18028,0.60480,6.78171,0.00000,0.00000,0.00000,0.00194,0.03657,0.12406
nan,longest_prefix,5.0,130.68,3.01879,0.18584,0.61275,7.38532,0.00119,0.00000,0.00000,0.00344,0.03145,0.11402
nan,longest_prefix,10.0,130.68,5.51694,0.18342,0.63495,6.94860,0.00354,0.00000,0.00006,0.00420,0.04031,0.12537
nan,longest_prefix,30.0,130.68,16.61694,0.17431,0.63555,6.77274,0.01607,0.00050,0.00632,0.01798,0.03460,0.11588
nan,longest_prefix,shadow,130.68,0.00000,0.04447,2017.21613,3421.65120,0.00470,0.00928,0.00000,0.00076,2.64575,2.64575
nan,hybrid,0.0,128.57,0.00000,0.16737,0.61835,6.98960,0.00000,0.00000,0.01388,0.00190,0.03228,0.12302
nan,hybrid,0.5,128.57,0.49916,0.16737,0.61835,6.98960,0.00000,0.00000,0.01388,0.00190,0.03228,0.12302
nan,hybrid,1.0,128.57,0.99861,0.16737,0.61835,6.98960,0.00000,0.00000,0.01388,0.00190,0.03228,0.12302
nan,hybrid,2.0,128.57,1.50805,0.16737,0.61835,6.98960,0.00000,0.00000,0.01388,0.00190,0.03228,0.12302
nan,hybrid,5.0,128.57,3.01879,0.16529,0.63525,7.08156,0.00097,0.00000,0.01469,0.00213,0.03324,0.11375
nan,hybrid,10.0,128.57,5.51694,0.16686,0.63840,7.34378,0.00314,0.00001,0.01454,0.00444,0.03566,0.11653
nan,hybrid,30.0,128.57,16.61694,0.16001,0.63990,7.34380,0.01737,0.00151,0.01749,0.01880,0.03186,0.11729
nan,hybrid,shadow,128.57,0.00000,0.16600,0.63700,6.77517,0.00000,0.00077,0.01457,0.00000,0.03445,0.11577
nan,dualmap,0.0,128.21,0.00000,0.16513,0.66485,7.54718,0.00000,0.00000,0.01787,0.00067,0.02954,0.10192
nan,dualmap,0.5,128.21,0.49916,0.16513,0.66485,7.54718,0.00000,0.00000,0.01787,0.00067,0.02954,0.10192
nan,dualmap,1.0,128.21,0.99861,0.16513,0.66485,7.54718,0.00000,0.00000,0.01787,0.00067,0.02954,0.10192
nan,dualmap,2.0,128.21,1.50805,0.16513,0.66485,7.54718,0.00000,0.00000,0.01787,0.00067,0.02954,0.10192
nan,dualmap,5.0,128.21,3.01879,0.16571,0.66780,7.44317,0.00167,0.00000,0.01791,0.00175,0.02785,0.09837
nan,dualmap,10.0,128.21,5.51694,0.16392,0.66593,7.38339,0.00530,0.00000,0.01751,0.00579,0.02932,0.09873
nan,dualmap,30.0,128.21,16.61694,0.16374,0.65800,7.35014,0.01814,0.00508,0.01925,0.01907,0.02947,0.09908
nan,dualmap,shadow,128.21,0.00000,0.16495,0.66688,7.42195,0.00000,0.00028,0.01783,0.00000,0.03029,0.10284
nan,p2c,reference,nan,0.00000,0.06446,0.77455,7.61532,0.00000,0.00000,0.11439,0.00024,0.03273,0.10961
nan,round_robin,reference,nan,0.00000,0.06460,0.64730,6.95458,0.00000,0.00000,0.11361,0.00005,0.00990,0.02385
