zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,15.09,0.00000,0.72344,1.34664,58.32799,0.00000,0.00000,0.00000,0.00218,0.00000,0.13876,1.41900
0.9,longest_prefix,0.5,15.09,0.24682,0.71490,1.53053,42.59819,0.00171,0.00082,0.00056,0.00401,0.00000,0.10104,1.04379
0.9,longest_prefix,1.0,15.09,0.49459,0.71374,0.90606,17.31201,0.00336,0.00163,0.00111,0.00636,0.00000,0.06231,0.33360
0.9,longest_prefix,2.0,15.09,0.99669,0.71072,1.22400,13.29671,0.00578,0.00381,0.00225,0.00888,0.00000,0.08367,0.85991
0.9,longest_prefix,5.0,15.09,2.49941,0.69090,1.25222,10.41436,0.02036,0.00805,0.01012,0.02398,0.00000,0.01950,0.21564
0.9,longest_prefix,10.0,15.09,5.01076,0.62227,22.97469,32.06651,0.09570,0.01097,0.08108,0.09867,0.00000,0.00670,0.00698
0.9,longest_prefix,30.0,15.09,14.99965,0.66240,4.72293,21.35281,0.05406,0.02118,0.03170,0.04950,0.00000,0.01428,0.17367
0.9,longest_prefix,shadow,15.09,0.00000,0.72128,1.38170,51.76761,0.00113,0.00234,0.00147,0.00099,0.00000,0.08306,1.22694
0.9,hybrid,0.0,12.20,0.00000,0.65988,1.23288,7.78082,0.00000,0.00000,0.02789,0.00956,0.00000,0.00333,0.02312
0.9,hybrid,0.5,12.20,0.24682,0.66517,1.48911,8.37937,0.00364,0.00197,0.02852,0.01691,0.00000,0.00145,0.02881
0.9,hybrid,1.0,12.20,0.49459,0.65982,1.43269,7.13592,0.00712,0.00250,0.02441,0.01816,0.00000,0.00291,0.02926
0.9,hybrid,2.0,12.20,0.99669,0.64774,4.68506,11.12233,0.01384,0.00453,0.03094,0.05125,0.00000,0.00670,0.02742
0.9,hybrid,5.0,12.20,2.49941,0.64376,4.32239,11.88635,0.03847,0.00767,0.03227,0.05939,0.00000,0.00309,0.02492
0.9,hybrid,10.0,12.20,5.01076,0.60040,32.09367,48.57156,0.11674,0.01306,0.11181,0.11463,0.00000,0.00695,0.01075
0.9,hybrid,30.0,12.20,14.99965,0.64580,6.57471,22.07193,0.06556,0.02009,0.05237,0.06020,0.00000,0.00213,0.04945
0.9,hybrid,shadow,12.20,0.00000,0.67041,1.22968,6.27536,0.00915,0.00309,0.03497,0.00270,0.00000,0.00397,0.03639
0.9,dualmap,0.0,15.02,0.00000,0.72212,40.80968,104.25124,0.00000,0.00000,0.00000,0.02019,0.00000,0.34086,0.97410
0.9,dualmap,0.5,15.02,0.24682,0.72090,29.31056,74.80910,0.00175,0.00063,0.00011,0.01984,0.00000,0.21120,0.96952
0.9,dualmap,1.0,15.02,0.49459,0.72254,10.77746,49.93940,0.00301,0.00223,0.00056,0.01472,0.00000,0.27835,0.90651
0.9,dualmap,2.0,15.02,0.99669,0.72283,10.77746,49.93940,0.00594,0.00425,0.00028,0.01627,0.00000,0.27812,0.90564
0.9,dualmap,5.0,15.02,2.49941,0.71533,1.26065,26.49667,0.01371,0.00987,0.00226,0.01741,0.00000,0.07194,0.84459
0.9,dualmap,10.0,15.02,5.01076,0.70800,1.12263,9.66886,0.02411,0.01281,0.00381,0.02636,0.00000,0.06490,0.46767
0.9,dualmap,30.0,15.02,14.99965,0.70274,0.85607,5.72441,0.03505,0.02768,0.00936,0.03454,0.00000,0.04201,0.14408
0.9,dualmap,shadow,15.02,0.00000,0.72256,3.08475,56.71492,0.00783,0.00821,0.00265,0.00081,0.00000,0.17139,0.95284
0.9,p2c,reference,nan,0.00000,0.41308,124.26565,235.41898,0.00000,0.00000,0.24339,0.13460,0.00000,0.01306,0.01523
0.9,round_robin,reference,nan,0.00000,0.41800,121.06558,234.61548,0.00000,0.00000,0.24367,0.13415,0.00000,0.01865,0.04337
