zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,14.74,0.00000,0.71817,0.10400,0.39200,0.00000,0.00000,0.00000,0.00000,0.00000,0.18213,0.31180
0.9,longest_prefix,0.5,14.74,0.24682,0.71492,0.10400,0.39200,0.00153,0.00018,0.00085,0.00153,0.00000,0.20469,0.35707
0.9,longest_prefix,1.0,14.74,0.49459,0.71130,0.10400,0.41567,0.00354,0.00030,0.00338,0.00357,0.00000,0.20153,0.34756
0.9,longest_prefix,2.0,14.74,0.99669,0.70958,0.10350,0.39200,0.00637,0.00192,0.00373,0.00651,0.00000,0.17480,0.27352
0.9,longest_prefix,5.0,14.74,2.49941,0.69282,0.10400,0.44486,0.02200,0.00772,0.01052,0.02277,0.00000,0.13781,0.20277
0.9,longest_prefix,10.0,14.74,5.01076,0.68064,0.10400,0.42130,0.03048,0.01316,0.01682,0.03036,0.00000,0.11191,0.10988
0.9,longest_prefix,30.0,14.74,14.99965,0.65589,0.10400,0.44023,0.04650,0.01813,0.02805,0.04650,0.00000,0.18094,0.24402
0.9,longest_prefix,shadow,14.74,0.00000,0.71817,0.10400,0.39200,0.00007,0.00000,0.00000,0.00000,0.00000,0.18213,0.31180
0.9,hybrid,0.0,9.58,0.00000,0.56906,0.11964,0.43964,0.00000,0.00000,0.11008,0.00000,0.00000,0.10259,0.13934
0.9,hybrid,0.5,9.58,0.24682,0.56279,0.11968,0.47092,0.00361,0.00011,0.11398,0.00351,0.00000,0.10263,0.14148
0.9,hybrid,1.0,9.58,0.49459,0.56287,0.11962,0.48843,0.01000,0.00143,0.11184,0.01003,0.00000,0.09873,0.13424
0.9,hybrid,2.0,9.58,0.99669,0.55764,0.12000,0.49356,0.02232,0.00529,0.11623,0.02220,0.00000,0.10001,0.14018
0.9,hybrid,5.0,9.58,2.49941,0.53506,0.12000,0.51940,0.05787,0.01659,0.13731,0.05791,0.00000,0.10737,0.14783
0.9,hybrid,10.0,9.58,5.01076,0.51035,0.12800,0.57087,0.09356,0.02719,0.15486,0.09348,0.00000,0.09343,0.14202
0.9,hybrid,30.0,9.58,14.99965,0.50243,0.12800,0.58567,0.11109,0.03951,0.16444,0.11050,0.00000,0.09678,0.13864
0.9,hybrid,shadow,9.58,0.00000,0.56906,0.11964,0.44629,0.00000,0.00000,0.10792,0.00000,0.00000,0.10053,0.13934
0.9,dualmap,0.0,14.95,0.00000,0.72087,0.10400,0.40180,0.00000,0.00000,0.00000,0.00017,0.00000,0.35028,0.51941
0.9,dualmap,0.5,14.95,0.24682,0.72058,0.10400,0.42414,0.00160,0.00080,0.00028,0.00192,0.00000,0.34987,0.51753
0.9,dualmap,1.0,14.95,0.49459,0.72115,0.10378,0.40337,0.00326,0.00258,0.00089,0.00363,0.00000,0.29780,0.43319
0.9,dualmap,2.0,14.95,0.99669,0.72015,0.10400,0.40337,0.00690,0.00388,0.00155,0.00738,0.00000,0.33140,0.50057
0.9,dualmap,5.0,14.95,2.49941,0.70920,0.10400,0.40773,0.01732,0.01028,0.00470,0.01768,0.00000,0.13037,0.16105
0.9,dualmap,10.0,14.95,5.01076,0.70416,0.10400,0.40510,0.02578,0.01844,0.00579,0.02608,0.00000,0.12293,0.12518
0.9,dualmap,30.0,14.95,14.99965,0.69207,0.10400,0.42754,0.04000,0.02782,0.01291,0.03984,0.00000,0.18713,0.25719
0.9,dualmap,shadow,14.95,0.00000,0.72087,0.10400,0.39758,0.00003,0.00015,0.00000,0.00003,0.00000,0.35028,0.51941
0.9,p2c,reference,nan,0.00000,0.41450,0.22870,0.68588,0.00000,0.00000,0.24446,0.00025,0.00000,0.08312,0.14272
0.9,round_robin,reference,nan,0.00000,0.41729,0.14113,0.48747,0.00000,0.00000,0.24021,0.00000,0.00000,0.00537,0.01431
