zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,14.41,0.00000,0.09047,422.11160,1034.03148,0.00000,0.00000,0.00000,0.01962,0.00000,1.73205,1.73205
nan,longest_prefix,0.5,14.41,0.25307,0.09086,386.17226,978.50348,0.00127,0.00115,0.00000,0.02329,0.00000,1.73205,1.73205
nan,longest_prefix,1.0,14.41,0.50214,0.09086,386.17226,978.50348,0.00384,0.00159,0.00000,0.02147,0.00000,1.73205,1.73205
nan,longest_prefix,2.0,14.41,0.99935,0.09086,386.17226,978.50348,0.00604,0.00280,0.00000,0.02397,0.00000,1.73205,1.73205
nan,longest_prefix,5.0,14.41,2.46861,0.23001,1.00000,7.43172,0.05378,0.01165,0.01690,0.06286,0.00000,0.60535,0.58212
nan,longest_prefix,10.0,14.41,4.95162,0.20379,1.06400,7.14952,0.08441,0.02396,0.03290,0.09037,0.00000,0.60510,0.58277
nan,longest_prefix,30.0,14.41,15.01622,0.19530,1.06730,7.55879,0.11741,0.04367,0.05143,0.12045,0.00000,0.59960,0.58061
nan,longest_prefix,shadow,14.41,0.00000,0.09047,422.11160,1034.03148,0.04190,0.01962,0.00000,0.00101,0.00000,1.73205,1.73205
nan,hybrid,0.0,17.56,0.00000,0.24791,0.56800,2.76711,0.00000,0.00000,0.03505,0.00123,0.00000,0.21085,0.19952
nan,hybrid,0.5,17.56,0.25307,0.25180,0.56800,2.93670,0.00299,0.00000,0.03666,0.00452,0.00000,0.21071,0.19478
nan,hybrid,1.0,17.56,0.50214,0.25298,0.56301,2.75889,0.00679,0.00000,0.03699,0.00817,0.00000,0.20820,0.19742
nan,hybrid,2.0,17.56,0.99935,0.24967,0.56454,2.82322,0.01111,0.00081,0.03565,0.01227,0.00000,0.21508,0.20298
nan,hybrid,5.0,17.56,2.46861,0.23948,0.56800,2.95698,0.03457,0.00798,0.04048,0.03634,0.00000,0.21443,0.20306
nan,hybrid,10.0,17.56,4.95162,0.23917,0.58400,2.82751,0.06957,0.01861,0.05891,0.07104,0.00000,0.20650,0.18613
nan,hybrid,30.0,17.56,15.01622,0.21950,0.62029,2.80498,0.10013,0.03734,0.07426,0.10111,0.00000,0.19308,0.17671
nan,hybrid,shadow,17.56,0.00000,0.24863,0.56703,2.78094,0.00018,0.00057,0.03933,0.00034,0.00000,0.20797,0.19650
nan,dualmap,0.0,19.30,0.00000,0.31412,0.60000,3.73455,0.00000,0.00000,0.00000,0.00358,0.00000,0.08900,0.14268
nan,dualmap,0.5,19.30,0.25307,0.31414,0.60000,3.73455,0.00228,0.00000,0.00006,0.00575,0.00000,0.08825,0.13502
nan,dualmap,1.0,19.30,0.50214,0.30489,0.60291,3.75610,0.00984,0.00020,0.00036,0.01323,0.00000,0.08771,0.13982
nan,dualmap,2.0,19.30,0.99935,0.30927,0.59681,3.77252,0.02280,0.00203,0.00161,0.02612,0.00000,0.09651,0.14731
nan,dualmap,5.0,19.30,2.46861,0.30075,0.60766,3.59074,0.05352,0.01324,0.00659,0.05628,0.00000,0.08645,0.12599
nan,dualmap,10.0,19.30,4.95162,0.29289,0.63477,3.83748,0.08980,0.03378,0.01499,0.09148,0.00000,0.08340,0.11684
nan,dualmap,30.0,19.30,15.01622,0.27479,0.64800,4.09449,0.13415,0.07563,0.02865,0.13485,0.00000,0.09178,0.12463
nan,dualmap,shadow,19.30,0.00000,0.31248,0.60161,3.59721,0.00044,0.00346,0.00115,0.00044,0.00000,0.08924,0.13733
nan,chwbl,0.0,18.15,0.00000,0.25358,0.70454,4.20904,0.00000,0.00000,0.03417,0.00243,0.00000,0.17962,0.26014
nan,chwbl,0.5,18.15,0.25307,0.25358,0.70454,4.20904,0.00452,0.00019,0.03417,0.00704,0.00000,0.17962,0.26014
nan,chwbl,1.0,18.15,0.50214,0.25358,0.70454,4.20904,0.00830,0.00086,0.03417,0.01082,0.00000,0.17962,0.26014
nan,chwbl,2.0,18.15,0.99935,0.25358,0.70454,4.20904,0.01403,0.00203,0.03417,0.01649,0.00000,0.17962,0.26014
nan,chwbl,5.0,18.15,2.46861,0.25358,0.70454,4.20904,0.04050,0.01153,0.03417,0.04211,0.00000,0.17962,0.26014
nan,chwbl,10.0,18.15,4.95162,0.25358,0.70454,4.20904,0.07471,0.03956,0.03417,0.07604,0.00000,0.17962,0.26014
nan,chwbl,30.0,18.15,15.01622,0.25358,0.70454,4.20904,0.11163,0.08407,0.03417,0.11256,0.00000,0.17962,0.26014
nan,chwbl,shadow,18.15,0.00000,0.25358,0.70454,4.20904,0.00181,0.00399,0.03417,0.00191,0.00000,0.17962,0.26014
nan,p2c,reference,nan,0.00000,0.12443,0.75496,3.83308,0.00000,0.00000,0.14890,0.00023,0.00000,0.15322,0.14017
nan,round_robin,reference,nan,0.00000,0.11936,0.66400,3.35552,0.00000,0.00000,0.15681,0.00020,0.00000,0.00841,0.07036
