zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,load_cv
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.18205
0.9,longest_prefix,0.5,14.69,0.24682,0.71625,0.21600,0.98694,0.00209,0.00034,0.00113,0.00217,0.19070
0.9,longest_prefix,1.0,14.69,0.49459,0.71548,0.21600,1.02978,0.00444,0.00107,0.00141,0.00468,0.14660
0.9,longest_prefix,2.0,14.69,0.99669,0.71356,0.21600,1.12338,0.00759,0.00178,0.00485,0.00778,0.16788
0.9,longest_prefix,5.0,14.69,2.49941,0.69676,0.21600,1.11028,0.01801,0.00736,0.00874,0.01851,0.07817
0.9,longest_prefix,10.0,14.69,5.01076,0.69180,0.21600,0.93605,0.02757,0.00953,0.01281,0.02757,0.10650
0.9,longest_prefix,30.0,14.69,14.99965,0.64516,0.22433,1.24919,0.05246,0.02146,0.03276,0.05288,0.08841
0.9,longest_prefix,shadow,14.69,0.00000,0.72460,0.21600,0.95847,0.00017,0.00023,0.00000,0.00014,0.18194
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.04645
0.9,hybrid,0.5,10.26,0.24682,0.59550,0.24800,1.24517,0.00359,0.00085,0.08546,0.00389,0.04466
0.9,hybrid,1.0,10.26,0.49459,0.59510,0.24616,1.34517,0.00818,0.00147,0.08544,0.00934,0.04699
0.9,hybrid,2.0,10.26,0.99669,0.59298,0.25204,1.39889,0.02086,0.00364,0.08816,0.02166,0.04273
0.9,hybrid,5.0,10.26,2.49941,0.56641,0.26182,1.58388,0.05482,0.01347,0.11174,0.05521,0.03916
0.9,hybrid,10.0,10.26,5.01076,0.54895,0.27227,1.53052,0.08578,0.02031,0.12436,0.08578,0.03668
0.9,hybrid,30.0,10.26,14.99965,0.53904,0.26934,1.65308,0.09968,0.03053,0.13177,0.09912,0.03572
0.9,hybrid,shadow,10.26,0.00000,0.60746,0.24800,1.29827,0.00071,0.00049,0.08285,0.00011,0.04790
0.9,dualmap,0.0,15.18,0.00000,0.72194,0.21068,1.21790,0.00000,0.00000,0.00000,0.00048,0.14814
0.9,dualmap,0.5,15.18,0.24682,0.72194,0.20991,1.21790,0.00154,0.00088,0.00028,0.00186,0.10556
0.9,dualmap,1.0,15.18,0.49459,0.72355,0.21541,1.29746,0.00225,0.00183,0.00056,0.00257,0.16488
0.9,dualmap,2.0,15.18,0.99669,0.72276,0.21600,1.23340,0.00651,0.00348,0.00113,0.00708,0.15256
0.9,dualmap,5.0,15.18,2.49941,0.70901,0.21072,1.13060,0.01491,0.00857,0.00556,0.01496,0.09770
0.9,dualmap,10.0,15.18,5.01076,0.70810,0.20991,1.04149,0.02390,0.01410,0.00640,0.02397,0.08124
0.9,dualmap,30.0,15.18,14.99965,0.69728,0.21495,1.13198,0.03441,0.02658,0.01161,0.03462,0.10815
0.9,dualmap,shadow,15.18,0.00000,0.72446,0.21460,1.27772,0.00004,0.00039,0.00009,0.00004,0.14029
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.02435
