zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,135.54,0.00000,0.40718,0.17765,6.91134,0.00000,0.00000,0.00000,0.00000,0.00000,0.49791,0.52533
nan,longest_prefix,0.5,135.54,0.49841,0.40775,0.17815,6.84967,0.00004,0.00000,0.00000,0.00004,0.00000,0.49812,0.52343
nan,longest_prefix,1.0,135.54,0.99712,0.41054,0.17595,6.52256,0.00004,0.00000,0.00000,0.00004,0.00000,0.49877,0.52466
nan,longest_prefix,2.0,135.54,1.50249,0.41240,0.17718,6.65920,0.00038,0.00000,0.00000,0.00038,0.00000,0.49613,0.52035
nan,longest_prefix,5.0,135.54,3.03693,0.42717,0.20157,6.25761,0.00358,0.00000,0.00000,0.00358,0.00000,0.10676,0.24168
nan,longest_prefix,10.0,135.54,5.54249,0.42971,0.20235,5.80111,0.00202,0.00000,0.00056,0.00202,0.00000,0.03986,0.11638
nan,longest_prefix,30.0,135.54,17.19804,0.42561,0.20817,6.33349,0.01482,0.00064,0.00344,0.01482,0.00000,0.02791,0.08966
nan,longest_prefix,shadow,135.54,0.00000,0.33727,0.40255,1516.73065,0.00370,0.01216,0.00000,0.00188,0.00000,2.34784,2.64403
nan,hybrid,0.0,138.89,0.00000,0.41892,0.22705,6.34438,0.00000,0.00000,0.00856,0.00000,0.00000,0.07594,0.19122
nan,hybrid,0.5,138.89,0.49841,0.41892,0.22705,6.34438,0.00000,0.00000,0.00856,0.00000,0.00000,0.07594,0.19122
nan,hybrid,1.0,138.89,0.99712,0.42235,0.20385,6.46317,0.00016,0.00000,0.00775,0.00016,0.00000,0.08553,0.23937
nan,hybrid,2.0,138.89,1.50249,0.42295,0.22795,6.50137,0.00117,0.00000,0.00619,0.00117,0.00000,0.09088,0.21708
nan,hybrid,5.0,138.89,3.03693,0.42056,0.21105,6.25455,0.00213,0.00000,0.00783,0.00213,0.00000,0.08114,0.19979
nan,hybrid,10.0,138.89,5.54249,0.42117,0.20705,6.21634,0.00442,0.00000,0.00718,0.00442,0.00000,0.02911,0.08906
nan,hybrid,30.0,138.89,17.19804,0.42018,0.22527,6.40947,0.01120,0.00024,0.01008,0.01120,0.00000,0.03592,0.10185
nan,hybrid,shadow,138.89,0.00000,0.41720,0.23520,6.30519,0.00110,0.00076,0.01308,0.00110,0.00000,0.07965,0.18480
nan,dualmap,0.0,137.48,0.00000,0.41387,0.27590,6.09098,0.00000,0.00000,0.01160,0.00000,0.00000,0.02840,0.08744
nan,dualmap,0.5,137.48,0.49841,0.41278,0.27675,6.11436,0.00000,0.00000,0.01142,0.00000,0.00000,0.02848,0.09083
nan,dualmap,1.0,137.48,0.99712,0.41263,0.27675,6.11436,0.00009,0.00000,0.01142,0.00009,0.00000,0.02906,0.09083
nan,dualmap,2.0,137.48,1.50249,0.41272,0.27703,6.11436,0.00086,0.00000,0.01154,0.00086,0.00000,0.03003,0.08609
nan,dualmap,5.0,137.48,3.03693,0.41418,0.27117,6.05476,0.00269,0.00000,0.01151,0.00269,0.00000,0.02789,0.09228
nan,dualmap,10.0,137.48,5.54249,0.41267,0.27005,6.09075,0.00417,0.00000,0.01203,0.00417,0.00000,0.03074,0.09436
nan,dualmap,30.0,137.48,17.19804,0.41135,0.26560,6.09183,0.01624,0.00103,0.01353,0.01624,0.00000,0.02506,0.09050
nan,dualmap,shadow,137.48,0.00000,0.41398,0.27432,5.95712,0.00036,0.00135,0.01230,0.00036,0.00000,0.03356,0.09458
nan,p2c,reference,nan,0.00000,0.33595,0.31370,6.76185,0.00000,0.00000,0.09274,0.00000,0.00000,0.04377,0.12413
nan,round_robin,reference,nan,0.00000,0.34371,0.30240,7.06303,0.00000,0.00000,0.08007,0.00000,0.00000,0.02165,0.09194
