zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,136.41,0.00000,0.40822,0.18510,6.55746,0.00000,0.00000,0.00000,0.00127,0.49987,0.51940
nan,longest_prefix,0.5,136.41,0.49841,0.40822,0.18510,6.55746,0.00000,0.00000,0.00000,0.00127,0.49987,0.51940
nan,longest_prefix,1.0,136.41,0.99712,0.40822,0.18510,6.55746,0.00000,0.00000,0.00000,0.00127,0.49987,0.51940
nan,longest_prefix,2.0,136.41,1.50249,0.40822,0.18510,6.55746,0.00000,0.00000,0.00000,0.00127,0.49987,0.51940
nan,longest_prefix,5.0,136.41,3.03693,0.42566,0.20210,6.29805,0.00163,0.00000,0.00000,0.00256,0.11291,0.25752
nan,longest_prefix,10.0,136.41,5.54249,0.43073,0.20160,6.18892,0.00208,0.00000,0.00056,0.00279,0.04605,0.11908
nan,longest_prefix,30.0,136.41,17.19804,0.42385,0.20260,5.98256,0.01404,0.00096,0.00266,0.01463,0.05172,0.11403
nan,longest_prefix,shadow,136.41,0.00000,0.32929,0.40255,1545.59861,0.00357,0.00913,0.00000,0.00097,2.35215,2.64406
nan,hybrid,0.0,138.93,0.00000,0.41827,0.21120,6.21607,0.00000,0.00000,0.00586,0.00240,0.07858,0.19782
nan,hybrid,0.5,138.93,0.49841,0.41827,0.21120,6.21607,0.00000,0.00000,0.00586,0.00240,0.07858,0.19782
nan,hybrid,1.0,138.93,0.99712,0.41827,0.21120,6.21607,0.00000,0.00000,0.00586,0.00240,0.07858,0.19782
nan,hybrid,2.0,138.93,1.50249,0.41827,0.21120,6.21607,0.00000,0.00000,0.00586,0.00240,0.07858,0.19782
nan,hybrid,5.0,138.93,3.03693,0.41559,0.20588,6.29248,0.00217,0.00000,0.00872,0.00278,0.04883,0.12360
nan,hybrid,10.0,138.93,5.54249,0.42303,0.20327,6.39358,0.00236,0.00000,0.00886,0.00351,0.04628,0.10227
nan,hybrid,30.0,138.93,17.19804,0.41610,0.22120,6.45132,0.01659,0.00037,0.00833,0.01729,0.03802,0.10743
nan,hybrid,shadow,138.93,0.00000,0.42060,0.21660,6.32507,0.00067,0.00054,0.00909,0.00000,0.09268,0.21444
nan,dualmap,0.0,113.15,0.00000,0.33324,0.40040,279.04321,0.00000,0.00000,0.00000,0.02964,1.51203,1.72548
nan,dualmap,0.5,113.15,0.49841,0.33324,0.40040,278.97667,0.00008,0.00061,0.00047,0.02864,1.51201,1.72548
nan,dualmap,1.0,113.15,0.99712,0.33311,0.40040,278.73222,0.00104,0.00061,0.00047,0.02960,1.51207,1.72549
nan,dualmap,2.0,113.15,1.50249,0.33313,0.40040,278.87551,0.00064,0.00129,0.00031,0.02464,1.51235,1.72571
nan,dualmap,5.0,113.15,3.03693,0.33358,0.41722,286.68855,0.00346,0.00154,0.00002,0.02875,1.51290,1.72537
nan,dualmap,10.0,113.15,5.54249,0.33147,0.42270,298.77715,0.00490,0.00382,0.00191,0.02853,1.51356,1.72571
nan,dualmap,30.0,113.15,17.19804,0.33299,0.41722,288.57169,0.01656,0.00659,0.00764,0.03074,1.51372,1.72581
nan,dualmap,shadow,113.15,0.00000,0.32929,0.40255,1545.59861,0.00357,0.00913,0.00000,0.00097,2.35215,2.64406
nan,p2c,reference,nan,0.00000,0.33616,0.31370,6.76185,0.00000,0.00000,0.08887,0.00017,0.04389,0.12422
nan,round_robin,reference,nan,0.00000,0.34354,0.30240,7.06303,0.00000,0.00000,0.07958,0.00003,0.02166,0.09226
