policy,cache_blocks,period,turnover_s,mean_view_age,age_over_turnover,view_fp_rate,predicted_fp_rate,hit_rate,routing_regret_rate
longest_prefix,128,0.5,4.93,0.247,0.0501,0.00903,0.16429,0.5841,0.00593
longest_prefix,128,1.0,4.93,0.495,0.1004,0.02168,0.22418,0.5754,0.01369
longest_prefix,128,2.0,4.93,0.997,0.2023,0.04016,0.29084,0.5551,0.02534
longest_prefix,128,5.0,4.93,2.499,0.5074,0.06731,0.29280,0.5419,0.04177
longest_prefix,128,10.0,4.93,5.011,1.0171,0.09032,0.24893,0.5313,0.04571
longest_prefix,128,30.0,4.93,15.000,3.0448,0.10154,0.14345,0.5046,0.05562
longest_prefix,256,0.5,14.44,0.247,0.0171,0.00209,0.04184,0.7162,0.00113
longest_prefix,256,1.0,14.44,0.495,0.0342,0.00444,0.06017,0.7155,0.00141
longest_prefix,256,2.0,14.44,0.997,0.0690,0.00759,0.08696,0.7136,0.00485
longest_prefix,256,5.0,14.44,2.499,0.1730,0.01801,0.14248,0.6968,0.00874
longest_prefix,256,10.0,14.44,5.011,0.3469,0.02757,0.17668,0.6918,0.01281
longest_prefix,256,30.0,14.44,15.000,1.0384,0.05246,0.12596,0.6452,0.03276
longest_prefix,512,0.5,34.45,0.247,0.0072,0.00008,0.00484,0.7528,0.00000
longest_prefix,512,1.0,34.45,0.495,0.0144,0.00009,0.00894,0.7534,0.00000
longest_prefix,512,2.0,34.45,0.997,0.0289,0.00040,0.01290,0.7522,0.00028
longest_prefix,512,5.0,34.45,2.499,0.0725,0.00079,0.02285,0.7500,0.00000
longest_prefix,512,10.0,34.45,5.011,0.1454,0.00402,0.03901,0.7443,0.00249
longest_prefix,512,30.0,34.45,15.000,0.4353,0.01266,0.05967,0.7285,0.00881
longest_prefix,1024,0.5,75.05,0.247,0.0033,0.00000,0.00024,0.7562,0.00000
longest_prefix,1024,1.0,75.05,0.495,0.0066,0.00000,0.00087,0.7559,0.00000
longest_prefix,1024,2.0,75.05,0.997,0.0133,0.00000,0.00182,0.7557,0.00000
longest_prefix,1024,5.0,75.05,2.499,0.0333,0.00000,0.00337,0.7542,0.00000
longest_prefix,1024,10.0,75.05,5.011,0.0668,0.00046,0.00741,0.7501,0.00046
longest_prefix,1024,30.0,75.05,15.000,0.1999,0.00401,0.01370,0.7442,0.00401
hybrid,128,0.5,3.83,0.247,0.0644,0.01410,0.15467,0.4645,0.08671
hybrid,128,1.0,3.83,0.495,0.1290,0.03090,0.20564,0.4569,0.09292
hybrid,128,2.0,3.83,0.997,0.2599,0.06638,0.25837,0.4294,0.11337
hybrid,128,5.0,3.83,2.499,0.6518,0.10880,0.25961,0.4132,0.13568
hybrid,128,10.0,3.83,5.011,1.3067,0.13881,0.21070,0.3985,0.14976
hybrid,128,30.0,3.83,15.000,3.9115,0.14022,0.12370,0.3827,0.16082
hybrid,256,0.5,10.09,0.247,0.0245,0.00359,0.06614,0.5955,0.08546
hybrid,256,1.0,10.09,0.495,0.0490,0.00818,0.08778,0.5951,0.08544
hybrid,256,2.0,10.09,0.997,0.0988,0.02086,0.12103,0.5930,0.08816
hybrid,256,5.0,10.09,2.499,0.2478,0.05482,0.17409,0.5664,0.11174
hybrid,256,10.0,10.09,5.011,0.4967,0.08578,0.18421,0.5489,0.12436
hybrid,256,30.0,10.09,15.000,1.4870,0.09968,0.11842,0.5390,0.13177
hybrid,512,0.5,27.23,0.247,0.0091,0.00062,0.02375,0.6935,0.05256
hybrid,512,1.0,27.23,0.495,0.0182,0.00231,0.03168,0.6911,0.05368
hybrid,512,2.0,27.23,0.997,0.0366,0.00411,0.04040,0.6886,0.05666
hybrid,512,5.0,27.23,2.499,0.0918,0.01127,0.05673,0.6872,0.05713
hybrid,512,10.0,27.23,5.011,0.1840,0.02336,0.07848,0.6810,0.06123
hybrid,512,30.0,27.23,15.000,0.5508,0.05318,0.07828,0.6533,0.08523
hybrid,1024,0.5,67.86,0.247,0.0036,0.00000,0.00411,0.7344,0.01812
hybrid,1024,1.0,67.86,0.495,0.0073,0.00018,0.00795,0.7344,0.01795
hybrid,1024,2.0,67.86,0.997,0.0147,0.00033,0.01012,0.7356,0.01786
hybrid,1024,5.0,67.86,2.499,0.0368,0.00170,0.01343,0.7332,0.01717
hybrid,1024,10.0,67.86,5.011,0.0738,0.00370,0.01743,0.7303,0.01966
hybrid,1024,30.0,67.86,15.000,0.2210,0.01038,0.02150,0.7275,0.02239
