zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,130.68,0.00000,0.18028,0.60480,6.78171,0.00000,0.00000,0.00000,0.00194,0.00000,0.03657,0.12406
nan,longest_prefix,0.5,130.68,0.49916,0.04447,2017.21613,3421.65120,0.00033,0.00000,0.00000,0.00961,0.00000,2.64575,2.64575
nan,longest_prefix,1.0,130.68,0.99861,0.04447,2017.21613,3421.65120,0.00033,0.00000,0.00000,0.00961,0.00000,2.64575,2.64575
nan,longest_prefix,2.0,130.68,1.50805,0.04447,2017.21613,3421.65120,0.00043,0.00000,0.00000,0.00971,0.00000,2.64575,2.64575
nan,longest_prefix,5.0,130.68,3.01879,0.04447,2017.21613,3421.65120,0.00080,0.00038,0.00000,0.00970,0.00000,2.64575,2.64575
nan,longest_prefix,10.0,130.68,5.51694,0.04447,2017.21613,3421.65120,0.00195,0.00276,0.00000,0.00799,0.00000,2.64575,2.64575
nan,longest_prefix,30.0,130.68,16.61694,0.04447,2017.21613,3421.65120,0.01382,0.00462,0.00000,0.01675,0.00005,2.64575,2.64575
nan,hybrid,0.0,128.57,0.00000,0.16737,0.61835,6.98960,0.00000,0.00000,0.01388,0.00190,0.00000,0.03228,0.12302
nan,hybrid,0.5,128.57,0.49916,0.16958,0.61140,7.15839,0.00000,0.00000,0.01343,0.00098,0.00118,0.03086,0.12206
nan,hybrid,1.0,128.57,0.99861,0.16958,0.61140,7.15839,0.00000,0.00000,0.01343,0.00098,0.00117,0.03086,0.12206
nan,hybrid,2.0,128.57,1.50805,0.16958,0.61140,7.15839,0.00000,0.00000,0.01343,0.00098,0.00117,0.03086,0.12206
nan,hybrid,5.0,128.57,3.01879,0.16677,0.63852,7.15846,0.00077,0.00000,0.01385,0.00181,0.00309,0.02993,0.11636
nan,hybrid,10.0,128.57,5.51694,0.16530,0.63142,7.28808,0.00223,0.00000,0.01572,0.00309,0.00485,0.03586,0.11828
nan,hybrid,30.0,128.57,16.61694,0.16528,0.63578,7.15683,0.01187,0.00039,0.01635,0.01305,0.01438,0.03872,0.12295
nan,dualmap,0.0,128.21,0.00000,0.16513,0.66485,7.54718,0.00000,0.00000,0.01787,0.00067,0.00000,0.02954,0.10192
nan,dualmap,0.5,128.21,0.49916,0.16495,0.66688,7.42195,0.00000,0.00000,0.01783,0.00028,0.00122,0.03029,0.10284
nan,dualmap,1.0,128.21,0.99861,0.16495,0.66688,7.42195,0.00000,0.00000,0.01783,0.00028,0.00122,0.03029,0.10284
nan,dualmap,2.0,128.21,1.50805,0.16495,0.66688,7.42195,0.00000,0.00000,0.01783,0.00028,0.00121,0.03029,0.10284
nan,dualmap,5.0,128.21,3.01879,0.16585,0.66922,7.38339,0.00169,0.00000,0.01791,0.00182,0.00327,0.02578,0.09807
nan,dualmap,10.0,128.21,5.51694,0.16510,0.66922,7.37584,0.00413,0.00000,0.01742,0.00506,0.00553,0.03051,0.10081
nan,dualmap,30.0,128.21,16.61694,0.16559,0.66430,7.35014,0.01856,0.00115,0.01856,0.01963,0.01962,0.02864,0.09977
nan,p2c,reference,nan,0.00000,0.06446,0.77455,7.61532,0.00000,0.00000,0.11439,0.00024,0.00000,0.03273,0.10961
nan,round_robin,reference,nan,0.00000,0.06460,0.64730,6.95458,0.00000,0.00000,0.11361,0.00005,0.00000,0.00990,0.02385
