zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.72509,0.21823,0.98975,0.00200,0.00000,0.00000,0.00195,0.00409,0.16534,0.39686
0.9,longest_prefix,1.0,14.69,0.49459,0.72562,0.21600,0.93388,0.00303,0.00000,0.00000,0.00300,0.00844,0.19755,0.47461
0.9,longest_prefix,2.0,14.69,0.99669,0.72379,0.21600,1.11680,0.00606,0.00001,0.00000,0.00637,0.01514,0.18637,0.47052
0.9,longest_prefix,5.0,14.69,2.49941,0.72549,0.21600,1.10856,0.01216,0.00000,0.00000,0.01122,0.03052,0.18461,0.45545
0.9,longest_prefix,10.0,14.69,5.01076,0.72399,0.21600,1.10779,0.02061,0.00000,0.00000,0.02091,0.04431,0.19494,0.46289
0.9,longest_prefix,30.0,14.69,14.99965,0.72539,0.21600,1.14231,0.02587,0.00000,0.00000,0.02611,0.03518,0.20627,0.48552
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.59238,0.24800,1.32484,0.00387,0.00000,0.09312,0.00423,0.00843,0.02103,0.04196
0.9,hybrid,1.0,10.26,0.49459,0.59425,0.24800,1.37392,0.00667,0.00005,0.09049,0.00670,0.01589,0.03134,0.05027
0.9,hybrid,2.0,10.26,0.99669,0.59329,0.24800,1.40656,0.01396,0.00008,0.09222,0.01384,0.02503,0.01978,0.05736
0.9,hybrid,5.0,10.26,2.49941,0.59143,0.24800,1.41178,0.03014,0.00007,0.09720,0.03016,0.04659,0.02644,0.04023
0.9,hybrid,10.0,10.26,5.01076,0.58869,0.25364,1.44460,0.05312,0.00030,0.09819,0.05342,0.06430,0.01731,0.02459
0.9,hybrid,30.0,10.26,14.99965,0.59077,0.25267,1.51170,0.08419,0.00016,0.09799,0.08361,0.06105,0.02246,0.04273
0.9,lmetric,0.0,12.69,0.00000,0.67269,0.21600,1.13090,0.00000,0.00000,0.02594,0.00044,0.00000,0.06109,0.11921
0.9,lmetric,0.5,12.69,0.24682,0.67145,0.21600,1.24161,0.00232,0.00000,0.02981,0.00234,0.00589,0.05412,0.08712
0.9,lmetric,1.0,12.69,0.49459,0.67290,0.21600,1.07853,0.00401,0.00000,0.02746,0.00360,0.01038,0.04814,0.07807
0.9,lmetric,2.0,12.69,0.99669,0.66802,0.22200,1.25848,0.00683,0.00000,0.03539,0.00695,0.01705,0.03909,0.06293
0.9,lmetric,5.0,12.69,2.49941,0.65627,0.22391,1.32623,0.01784,0.00000,0.04416,0.01778,0.03125,0.03310,0.06699
0.9,lmetric,10.0,12.69,5.01076,0.65488,0.22633,1.25124,0.02624,0.00000,0.04289,0.02614,0.03921,0.02246,0.03889
0.9,lmetric,30.0,12.69,14.99965,0.65161,0.21937,1.38286,0.05392,0.00000,0.04529,0.05363,0.03387,0.02051,0.06322
0.9,dynamo_cost,0.0,8.21,0.00000,0.49859,0.40200,1.78812,0.00000,0.00000,0.16430,0.00173,0.00000,0.02813,0.06381
0.9,dynamo_cost,0.5,8.21,0.24682,0.48923,0.47649,1.91809,0.00708,0.00000,0.17872,0.00668,0.01144,0.02013,0.04312
0.9,dynamo_cost,1.0,8.21,0.49459,0.48622,0.44262,1.85507,0.01241,0.00000,0.18145,0.01002,0.01994,0.02240,0.04797
0.9,dynamo_cost,2.0,8.21,0.99669,0.48875,0.47254,1.86361,0.02100,0.00059,0.18112,0.02128,0.03474,0.01703,0.03106
0.9,dynamo_cost,5.0,8.21,2.49941,0.48632,0.46188,1.89550,0.04987,0.00121,0.18008,0.04868,0.06726,0.01321,0.03607
0.9,dynamo_cost,10.0,8.21,5.01076,0.49423,0.44852,1.85460,0.08450,0.00099,0.17724,0.08430,0.10041,0.01683,0.03534
0.9,dynamo_cost,30.0,8.21,14.99965,0.48839,0.46690,1.83593,0.15172,0.00028,0.18112,0.15159,0.12684,0.01666,0.04008
0.9,dualmap,0.0,14.88,0.00000,0.72055,0.21600,1.19340,0.00000,0.00000,0.00000,0.00026,0.00000,0.28814,0.52801
0.9,dualmap,0.5,14.88,0.24682,0.72096,0.21600,1.21808,0.00146,0.00015,0.00000,0.00158,0.00545,0.28757,0.52643
0.9,dualmap,1.0,14.88,0.49459,0.71962,0.21600,1.21808,0.00261,0.00000,0.00000,0.00278,0.01040,0.28968,0.53355
0.9,dualmap,2.0,14.88,0.99669,0.72065,0.21860,1.31325,0.00625,0.00000,0.00000,0.00627,0.01930,0.30494,0.58342
0.9,dualmap,5.0,14.88,2.49941,0.72502,0.22359,1.35261,0.01064,0.00000,0.00000,0.01056,0.03672,0.33177,0.66147
0.9,dualmap,10.0,14.88,5.01076,0.72458,0.22443,1.38034,0.01665,0.00000,0.00000,0.01610,0.04712,0.33587,0.68141
0.9,dualmap,30.0,14.88,14.99965,0.72415,0.22567,1.53938,0.02739,0.00000,0.00000,0.02753,0.03555,0.34285,0.75161
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.00000,0.02435,0.07708
0.9,round_robin,reference,nan,0.00000,0.41703,0.60000,2.02314,0.00000,0.00000,0.24167,0.00229,0.00000,0.00587,0.07341
