zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.72509,0.21823,0.98975,0.00200,0.00000,0.00000,0.00195,0.00000,0.16534,0.39686
0.9,longest_prefix,1.0,14.69,0.49459,0.72562,0.21600,0.93388,0.00303,0.00000,0.00000,0.00300,0.00000,0.19755,0.47461
0.9,longest_prefix,2.0,14.69,0.99669,0.72379,0.21600,1.11680,0.00606,0.00001,0.00000,0.00637,0.00000,0.18637,0.47052
0.9,longest_prefix,5.0,14.69,2.49941,0.72549,0.21600,1.10856,0.01216,0.00000,0.00000,0.01122,0.00000,0.18461,0.45545
0.9,longest_prefix,10.0,14.69,5.01076,0.72399,0.21600,1.10779,0.02061,0.00000,0.00000,0.02091,0.00000,0.19494,0.46289
0.9,longest_prefix,30.0,14.69,14.99965,0.72539,0.21600,1.14231,0.02587,0.00000,0.00000,0.02611,0.00000,0.20627,0.48552
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.60217,0.24800,1.28259,0.00446,0.00005,0.08203,0.00394,0.00000,0.04717,0.08479
0.9,hybrid,1.0,10.26,0.49459,0.60068,0.24800,1.31878,0.00742,0.00000,0.08326,0.00717,0.00000,0.04292,0.09034
0.9,hybrid,2.0,10.26,0.99669,0.59537,0.24800,1.33441,0.01868,0.00000,0.08668,0.01820,0.00000,0.04856,0.09454
0.9,hybrid,5.0,10.26,2.49941,0.58861,0.25194,1.43664,0.04913,0.00025,0.09366,0.04925,0.00000,0.04837,0.09940
0.9,hybrid,10.0,10.26,5.01076,0.58417,0.24931,1.43527,0.07811,0.00028,0.09877,0.07793,0.00000,0.03859,0.09335
0.9,hybrid,30.0,10.26,14.99965,0.54991,0.26400,1.59677,0.15118,0.00026,0.12775,0.15147,0.00000,0.04568,0.09095
0.9,lmetric,0.0,12.69,0.00000,0.67269,0.21600,1.13090,0.00000,0.00000,0.02594,0.00044,0.00000,0.06109,0.11921
0.9,lmetric,0.5,12.69,0.24682,0.67731,0.21600,1.14798,0.00190,0.00000,0.02152,0.00254,0.00000,0.06111,0.09335
0.9,lmetric,1.0,12.69,0.49459,0.67811,0.21600,1.22200,0.00443,0.00000,0.02240,0.00504,0.00000,0.06621,0.10320
0.9,lmetric,2.0,12.69,0.99669,0.67633,0.21600,1.20658,0.01163,0.00000,0.02198,0.01211,0.00000,0.06576,0.10622
0.9,lmetric,5.0,12.69,2.49941,0.67316,0.21600,1.20213,0.02573,0.00001,0.02728,0.02631,0.00000,0.05989,0.10730
0.9,lmetric,10.0,12.69,5.01076,0.66222,0.21919,1.33088,0.04854,0.00000,0.03514,0.04926,0.00000,0.07384,0.13955
0.9,lmetric,30.0,12.69,14.99965,0.63939,0.23200,1.42631,0.09132,0.00000,0.05451,0.09202,0.00000,0.06164,0.12540
0.9,dynamo_cost,0.0,8.21,0.00000,0.49859,0.40200,1.78812,0.00000,0.00000,0.16430,0.00173,0.00000,0.02813,0.06381
0.9,dynamo_cost,0.5,8.21,0.24682,0.49730,0.41225,1.88461,0.00801,0.00028,0.16868,0.00883,0.00000,0.03455,0.07311
0.9,dynamo_cost,1.0,8.21,0.49459,0.49870,0.40411,1.82470,0.01207,0.00085,0.16985,0.01321,0.00000,0.02955,0.07059
0.9,dynamo_cost,2.0,8.21,0.99669,0.49305,0.40800,1.79154,0.02563,0.00055,0.17145,0.02631,0.00000,0.03035,0.07101
0.9,dynamo_cost,5.0,8.21,2.49941,0.48970,0.42716,1.76363,0.06093,0.00137,0.18091,0.05993,0.00000,0.03046,0.06451
0.9,dynamo_cost,10.0,8.21,5.01076,0.47367,0.47302,1.94317,0.10540,0.00056,0.18980,0.10544,0.00000,0.02597,0.06016
0.9,dynamo_cost,30.0,8.21,14.99965,0.45624,0.58400,1.96372,0.19392,0.00056,0.20727,0.19243,0.00000,0.02539,0.06660
0.9,dualmap,0.0,14.88,0.00000,0.72055,0.21600,1.19340,0.00000,0.00000,0.00000,0.00026,0.00000,0.28814,0.52801
0.9,dualmap,0.5,14.88,0.24682,0.72096,0.21600,1.21808,0.00146,0.00015,0.00000,0.00158,0.00000,0.28757,0.52643
0.9,dualmap,1.0,14.88,0.49459,0.71962,0.21600,1.21808,0.00261,0.00000,0.00000,0.00278,0.00000,0.28968,0.53355
0.9,dualmap,2.0,14.88,0.99669,0.72065,0.21860,1.31325,0.00625,0.00000,0.00000,0.00627,0.00000,0.30494,0.58342
0.9,dualmap,5.0,14.88,2.49941,0.72502,0.22359,1.35261,0.01064,0.00000,0.00000,0.01056,0.00000,0.33177,0.66147
0.9,dualmap,10.0,14.88,5.01076,0.72458,0.22443,1.38034,0.01665,0.00000,0.00000,0.01610,0.00000,0.33587,0.68141
0.9,dualmap,30.0,14.88,14.99965,0.72415,0.22567,1.53938,0.02739,0.00000,0.00000,0.02753,0.00000,0.34285,0.75161
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.00000,0.02435,0.07708
0.9,round_robin,reference,nan,0.00000,0.41703,0.60000,2.02314,0.00000,0.00000,0.24167,0.00229,0.00000,0.00587,0.07341
