zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.59550,0.24800,1.24517,0.00359,0.00085,0.08546,0.00389,0.00000,0.04466,0.09707
0.9,hybrid,1.0,10.26,0.49459,0.59510,0.24616,1.34517,0.00818,0.00147,0.08544,0.00934,0.00000,0.04699,0.09273
0.9,hybrid,2.0,10.26,0.99669,0.59298,0.25204,1.39889,0.02086,0.00364,0.08816,0.02166,0.00000,0.04273,0.08503
0.9,hybrid,5.0,10.26,2.49941,0.56641,0.26182,1.58388,0.05482,0.01347,0.11174,0.05521,0.00000,0.03916,0.09055
0.9,hybrid,10.0,10.26,5.01076,0.54895,0.27227,1.53052,0.08578,0.02031,0.12436,0.08578,0.00000,0.03668,0.08900
0.9,hybrid,30.0,10.26,14.99965,0.53904,0.26934,1.65308,0.09968,0.03053,0.13177,0.09912,0.00000,0.03572,0.08729
0.9,lmetric,0.0,12.69,0.00000,0.67269,0.21600,1.13090,0.00000,0.00000,0.02594,0.00044,0.00000,0.06109,0.11921
0.9,lmetric,0.5,12.69,0.24682,0.67847,0.21600,1.26377,0.00229,0.00032,0.02401,0.00319,0.00000,0.07603,0.11389
0.9,lmetric,1.0,12.69,0.49459,0.67088,0.21600,1.25493,0.00628,0.00063,0.02733,0.00647,0.00000,0.06197,0.12481
0.9,lmetric,2.0,12.69,0.99669,0.66629,0.21600,1.27285,0.01207,0.00211,0.03315,0.01306,0.00000,0.06548,0.09992
0.9,lmetric,5.0,12.69,2.49941,0.64081,0.23043,1.35594,0.03629,0.00553,0.04844,0.03549,0.00000,0.06401,0.10582
0.9,lmetric,10.0,12.69,5.01076,0.62289,0.23200,1.43254,0.05660,0.01403,0.06282,0.05639,0.00000,0.06221,0.10804
0.9,lmetric,30.0,12.69,14.99965,0.59886,0.24206,1.48187,0.07435,0.01947,0.07683,0.07404,0.00000,0.05385,0.12022
0.9,dynamo_cost,0.0,8.21,0.00000,0.49859,0.40200,1.78812,0.00000,0.00000,0.16430,0.00173,0.00000,0.02813,0.06381
0.9,dynamo_cost,0.5,8.21,0.24682,0.49691,0.41708,1.73401,0.00624,0.00226,0.17099,0.00838,0.00000,0.03002,0.05959
0.9,dynamo_cost,1.0,8.21,0.49459,0.48730,0.41786,1.89619,0.01246,0.00583,0.18019,0.01248,0.00000,0.02916,0.06306
0.9,dynamo_cost,2.0,8.21,0.99669,0.48987,0.44769,1.97018,0.02591,0.01178,0.17702,0.02812,0.00000,0.02550,0.06757
0.9,dynamo_cost,5.0,8.21,2.49941,0.46870,0.47971,1.91972,0.06657,0.03476,0.19225,0.06886,0.00000,0.02793,0.05835
0.9,dynamo_cost,10.0,8.21,5.01076,0.45034,0.58400,1.95548,0.10452,0.05741,0.21081,0.10589,0.00000,0.02446,0.05679
0.9,dynamo_cost,30.0,8.21,14.99965,0.44692,0.59698,2.02261,0.13097,0.07211,0.21563,0.13003,0.00000,0.01964,0.06266
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.71625,0.21600,0.98694,0.00209,0.00034,0.00113,0.00217,0.00000,0.19070,0.39885
0.9,longest_prefix,1.0,14.69,0.49459,0.71548,0.21600,1.02978,0.00444,0.00107,0.00141,0.00468,0.00000,0.14660,0.27795
0.9,longest_prefix,2.0,14.69,0.99669,0.71356,0.21600,1.12338,0.00759,0.00178,0.00485,0.00778,0.00000,0.16788,0.38866
0.9,longest_prefix,5.0,14.69,2.49941,0.69676,0.21600,1.11028,0.01801,0.00736,0.00874,0.01851,0.00000,0.07817,0.14502
0.9,longest_prefix,10.0,14.69,5.01076,0.69180,0.21600,0.93605,0.02757,0.00953,0.01281,0.02757,0.00000,0.10650,0.21625
0.9,longest_prefix,30.0,14.69,14.99965,0.64516,0.22433,1.24919,0.05246,0.02146,0.03276,0.05288,0.00000,0.08841,0.17471
0.9,dualmap,0.0,14.88,0.00000,0.72055,0.21600,1.19340,0.00000,0.00000,0.00000,0.00026,0.00000,0.28814,0.52801
0.9,dualmap,0.5,14.88,0.24682,0.72096,0.21600,1.21808,0.00138,0.00087,0.00000,0.00158,0.00000,0.28760,0.52643
0.9,dualmap,1.0,14.88,0.49459,0.71926,0.21600,1.21546,0.00261,0.00258,0.00056,0.00283,0.00000,0.29022,0.53990
0.9,dualmap,2.0,14.88,0.99669,0.72017,0.21806,1.21565,0.00568,0.00457,0.00141,0.00594,0.00000,0.28939,0.52919
0.9,dualmap,5.0,14.88,2.49941,0.71862,0.21600,1.18707,0.01545,0.00972,0.00367,0.01566,0.00000,0.28186,0.50800
0.9,dualmap,10.0,14.88,5.01076,0.70441,0.21577,1.04696,0.02819,0.01522,0.00731,0.02815,0.00000,0.10535,0.13311
0.9,dualmap,30.0,14.88,14.99965,0.70017,0.21600,1.16903,0.03356,0.02812,0.01199,0.03375,0.00000,0.10132,0.19464
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.00000,0.02435,0.07708
0.9,round_robin,reference,nan,0.00000,0.41703,0.60000,2.02314,0.00000,0.00000,0.24167,0.00229,0.00000,0.00587,0.07341
