zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.71625,0.21600,0.98694,0.00209,0.00034,0.00113,0.00217,0.00455,0.19070,0.39885
0.9,longest_prefix,1.0,14.69,0.49459,0.71548,0.21600,1.02978,0.00444,0.00107,0.00141,0.00468,0.00809,0.14660,0.27795
0.9,longest_prefix,2.0,14.69,0.99669,0.71356,0.21600,1.12338,0.00759,0.00178,0.00485,0.00778,0.01500,0.16788,0.38866
0.9,longest_prefix,5.0,14.69,2.49941,0.69676,0.21600,1.11028,0.01801,0.00736,0.00874,0.01851,0.03084,0.07817,0.14502
0.9,longest_prefix,10.0,14.69,5.01076,0.69180,0.21600,0.93605,0.02757,0.00953,0.01281,0.02757,0.04659,0.10650,0.21625
0.9,longest_prefix,30.0,14.69,14.99965,0.64516,0.22433,1.24919,0.05246,0.02146,0.03276,0.05288,0.04346,0.08841,0.17471
0.9,longest_prefix,shadow,14.69,0.00000,0.72460,0.21600,0.95847,0.00017,0.00023,0.00000,0.00014,0.02980,0.18194,0.45928
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.59574,0.24800,1.36510,0.00400,0.00088,0.09062,0.00500,0.00927,0.03322,0.04703
0.9,hybrid,1.0,10.26,0.49459,0.59515,0.24800,1.43225,0.00621,0.00196,0.09218,0.00694,0.01647,0.02997,0.06702
0.9,hybrid,2.0,10.26,0.99669,0.58534,0.24800,1.37859,0.01449,0.00375,0.09638,0.01488,0.02728,0.02605,0.05124
0.9,hybrid,5.0,10.26,2.49941,0.56740,0.26400,1.44270,0.03661,0.01562,0.11086,0.03948,0.05675,0.02487,0.04270
0.9,hybrid,10.0,10.26,5.01076,0.54694,0.26970,1.66451,0.05819,0.02917,0.12804,0.05820,0.07195,0.02218,0.02933
0.9,hybrid,30.0,10.26,14.99965,0.53594,0.28000,1.60268,0.07077,0.04563,0.13033,0.07010,0.05906,0.01839,0.03758
0.9,hybrid,shadow,10.26,0.00000,0.59312,0.24800,1.33394,0.00141,0.00039,0.09264,0.00029,0.03200,0.03682,0.06129
