zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.71625,0.21600,0.98694,0.00209,0.00034,0.00113,0.00217,0.00303,0.19070,0.39885
0.9,longest_prefix,1.0,14.69,0.49459,0.71548,0.21600,1.02978,0.00444,0.00107,0.00141,0.00468,0.00241,0.14660,0.27795
0.9,longest_prefix,2.0,14.69,0.99669,0.71356,0.21600,1.12338,0.00759,0.00178,0.00485,0.00778,0.00332,0.16788,0.38866
0.9,longest_prefix,5.0,14.69,2.49941,0.69676,0.21600,1.11028,0.01801,0.00736,0.00874,0.01851,0.00220,0.07817,0.14502
0.9,longest_prefix,10.0,14.69,5.01076,0.69180,0.21600,0.93605,0.02757,0.00953,0.01281,0.02757,0.00968,0.10650,0.21625
0.9,longest_prefix,30.0,14.69,14.99965,0.64516,0.22433,1.24919,0.05246,0.02146,0.03276,0.05288,0.02825,0.08841,0.17471
0.9,longest_prefix,shadow,14.69,0.00000,0.72460,0.21600,0.95847,0.00017,0.00023,0.00000,0.00014,0.00158,0.18194,0.45928
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.59511,0.24800,1.31967,0.00521,0.00113,0.08442,0.00549,0.00030,0.04177,0.07145
0.9,hybrid,1.0,10.26,0.49459,0.59011,0.24800,1.37960,0.00824,0.00116,0.09075,0.00990,0.00025,0.04338,0.07880
0.9,hybrid,2.0,10.26,0.99669,0.59127,0.24800,1.36989,0.01789,0.00449,0.08837,0.01865,0.00051,0.04720,0.09028
0.9,hybrid,5.0,10.26,2.49941,0.56211,0.26164,1.60517,0.05098,0.01225,0.10967,0.05172,0.00268,0.04274,0.10452
0.9,hybrid,10.0,10.26,5.01076,0.54585,0.26827,1.59278,0.07115,0.02201,0.12951,0.07179,0.02560,0.04004,0.08518
0.9,hybrid,30.0,10.26,14.99965,0.53662,0.27391,1.56660,0.07570,0.04131,0.13451,0.07550,0.04087,0.03402,0.06995
0.9,hybrid,shadow,10.26,0.00000,0.60626,0.24800,1.17048,0.00053,0.00031,0.08441,0.00026,0.00017,0.05066,0.09314
0.9,lmetric,0.0,12.69,0.00000,0.67269,0.21600,1.13090,0.00000,0.00000,0.02594,0.00044,0.00000,0.06109,0.11921
0.9,lmetric,0.5,12.69,0.24682,0.67562,0.21600,1.19125,0.00218,0.00035,0.02526,0.00285,0.00033,0.07258,0.10169
0.9,lmetric,1.0,12.69,0.49459,0.66629,0.21600,1.17591,0.00519,0.00079,0.03000,0.00535,0.00052,0.05247,0.10238
0.9,lmetric,2.0,12.69,0.99669,0.66628,0.21600,1.27168,0.01115,0.00173,0.03349,0.01163,0.00028,0.06999,0.11359
0.9,lmetric,5.0,12.69,2.49941,0.64582,0.22063,1.32226,0.02969,0.00553,0.04471,0.02929,0.00136,0.05104,0.10951
0.9,lmetric,10.0,12.69,5.01076,0.62096,0.23405,1.36097,0.05134,0.01441,0.06706,0.05070,0.00699,0.05649,0.14629
0.9,lmetric,30.0,12.69,14.99965,0.59982,0.24448,1.45317,0.05314,0.02504,0.07852,0.05282,0.02558,0.03361,0.06903
0.9,lmetric,shadow,12.69,0.00000,0.67520,0.21600,1.09411,0.00010,0.00020,0.02516,0.00010,0.00010,0.05110,0.09320
0.9,dynamo_cost,0.0,8.21,0.00000,0.49859,0.40200,1.78812,0.00000,0.00000,0.16430,0.00173,0.00000,0.02813,0.06381
0.9,dynamo_cost,0.5,8.21,0.24682,0.49733,0.38060,1.75208,0.00558,0.00392,0.16970,0.00740,0.00056,0.03402,0.06100
0.9,dynamo_cost,1.0,8.21,0.49459,0.49500,0.41484,1.85529,0.01078,0.00604,0.17034,0.01174,0.00172,0.03018,0.06877
0.9,dynamo_cost,2.0,8.21,0.99669,0.48270,0.46808,1.99572,0.02513,0.01210,0.17991,0.02662,0.00338,0.02604,0.05480
0.9,dynamo_cost,5.0,8.21,2.49941,0.47461,0.46169,1.91412,0.06163,0.04061,0.19204,0.06305,0.01663,0.02488,0.06687
0.9,dynamo_cost,10.0,8.21,5.01076,0.46962,0.54665,1.84419,0.08570,0.06107,0.19724,0.08461,0.05732,0.02162,0.05688
0.9,dynamo_cost,30.0,8.21,14.99965,0.45741,0.58607,2.23466,0.10440,0.08293,0.20536,0.10456,0.07873,0.02305,0.05877
0.9,dynamo_cost,shadow,8.21,0.00000,0.49935,0.38189,1.78345,0.00165,0.00136,0.16704,0.00047,0.00104,0.03181,0.05973
0.9,dualmap,0.0,14.88,0.00000,0.72055,0.21600,1.19340,0.00000,0.00000,0.00000,0.00026,0.00000,0.28814,0.52801
0.9,dualmap,0.5,14.88,0.24682,0.72096,0.21600,1.21808,0.00138,0.00087,0.00000,0.00158,0.00500,0.28760,0.52643
0.9,dualmap,1.0,14.88,0.49459,0.71926,0.21600,1.21546,0.00261,0.00258,0.00056,0.00283,0.00475,0.29022,0.53990
0.9,dualmap,2.0,14.88,0.99669,0.72017,0.21806,1.21565,0.00568,0.00457,0.00141,0.00594,0.00576,0.28939,0.52919
0.9,dualmap,5.0,14.88,2.49941,0.71862,0.21600,1.18707,0.01545,0.00972,0.00367,0.01566,0.00765,0.28186,0.50800
0.9,dualmap,10.0,14.88,5.01076,0.70441,0.21577,1.04696,0.02819,0.01522,0.00731,0.02815,0.01136,0.10535,0.13311
0.9,dualmap,30.0,14.88,14.99965,0.70017,0.21600,1.16903,0.03356,0.02812,0.01199,0.03375,0.02122,0.10132,0.19464
0.9,dualmap,shadow,14.88,0.00000,0.72373,0.21914,1.20193,0.00065,0.00019,0.00000,0.00026,0.00500,0.31257,0.60758
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.00000,0.02435,0.07708
0.9,round_robin,reference,nan,0.00000,0.41703,0.60000,2.02314,0.00000,0.00000,0.24167,0.00229,0.00000,0.00587,0.07341
