zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
0.9,hybrid,0.0,10.26,0.00000,0.59707,0.24800,1.19176,0.00000,0.00000,0.08694,0.00070,0.00000,0.04645,0.09301
0.9,hybrid,0.5,10.26,0.24682,0.59511,0.24800,1.31967,0.00519,0.00122,0.08442,0.00548,0.00000,0.04177,0.07145
0.9,hybrid,1.0,10.26,0.49459,0.59011,0.24800,1.37960,0.00824,0.00162,0.09075,0.00990,0.00000,0.04338,0.07880
0.9,hybrid,2.0,10.26,0.99669,0.59363,0.24800,1.39257,0.01742,0.00454,0.08837,0.01818,0.00000,0.04720,0.09067
0.9,hybrid,5.0,10.26,2.49941,0.57045,0.25917,1.52438,0.04559,0.01502,0.11136,0.04622,0.00000,0.04770,0.10493
0.9,hybrid,10.0,10.26,5.01076,0.52366,0.32313,1.74154,0.06331,0.05788,0.14962,0.06327,0.00000,0.03845,0.10445
0.9,hybrid,30.0,10.26,14.99965,0.44685,0.58920,2.05965,0.02518,0.29242,0.21134,0.02506,0.00000,0.03263,0.08390
0.9,lmetric,0.0,12.69,0.00000,0.67269,0.21600,1.13090,0.00000,0.00000,0.02594,0.00044,0.00000,0.06109,0.11921
0.9,lmetric,0.5,12.69,0.24682,0.67562,0.21600,1.19125,0.00218,0.00076,0.02526,0.00285,0.00000,0.07258,0.10169
0.9,lmetric,1.0,12.69,0.49459,0.66629,0.21600,1.17591,0.00519,0.00122,0.03000,0.00535,0.00000,0.05247,0.10238
0.9,lmetric,2.0,12.69,0.99669,0.66461,0.21600,1.27168,0.01111,0.00202,0.03349,0.01163,0.00000,0.06999,0.10765
0.9,lmetric,5.0,12.69,2.49941,0.63663,0.22807,1.29550,0.03248,0.00669,0.04923,0.03282,0.00000,0.06053,0.10951
0.9,lmetric,10.0,12.69,5.01076,0.59890,0.24299,1.42494,0.05295,0.02180,0.07849,0.05316,0.00000,0.06888,0.13159
0.9,lmetric,30.0,12.69,14.99965,0.45824,0.48492,2.02914,0.03179,0.25519,0.20281,0.03167,0.00000,0.03450,0.09128
0.9,dynamo_cost,0.0,8.21,0.00000,0.49859,0.40200,1.78812,0.00000,0.00000,0.16430,0.00173,0.00000,0.02813,0.06381
0.9,dynamo_cost,0.5,8.21,0.24682,0.49733,0.38060,1.75208,0.00539,0.00487,0.16970,0.00720,0.00000,0.03402,0.06100
0.9,dynamo_cost,1.0,8.21,0.49459,0.49500,0.41484,1.79118,0.01069,0.00718,0.17034,0.01165,0.00000,0.03018,0.06629
0.9,dynamo_cost,2.0,8.21,0.99669,0.48869,0.40810,1.68535,0.02301,0.01424,0.17407,0.02372,0.00000,0.02746,0.06039
0.9,dynamo_cost,5.0,8.21,2.49941,0.46723,0.53832,1.91115,0.05381,0.04659,0.19444,0.05630,0.00000,0.02500,0.06017
0.9,dynamo_cost,10.0,8.21,5.01076,0.44346,0.59161,2.07233,0.04554,0.16644,0.21756,0.04455,0.00000,0.03212,0.07234
0.9,dynamo_cost,30.0,8.21,14.99965,0.42356,0.61600,2.22739,0.01391,0.32738,0.23598,0.01420,0.00000,0.02708,0.07704
0.9,longest_prefix,0.0,14.69,0.00000,0.72258,0.21600,0.98587,0.00000,0.00000,0.00000,0.00012,0.00000,0.18205,0.45938
0.9,longest_prefix,0.5,14.69,0.24682,0.71604,0.21600,1.18546,0.00166,0.00125,0.00151,0.00209,0.00000,0.18076,0.43616
0.9,longest_prefix,1.0,14.69,0.49459,0.71541,0.21600,1.00146,0.00342,0.00090,0.00264,0.00402,0.00000,0.17370,0.33311
0.9,longest_prefix,2.0,14.69,0.99669,0.70724,0.21600,1.14686,0.00693,0.00237,0.00642,0.00726,0.00000,0.15784,0.43539
0.9,longest_prefix,5.0,14.69,2.49941,0.69761,0.21762,1.14784,0.01643,0.00609,0.01203,0.01652,0.00000,0.07672,0.27189
0.9,longest_prefix,10.0,14.69,5.01076,0.67028,0.23195,1.29893,0.02814,0.01527,0.03044,0.02922,0.00000,0.18349,0.37121
0.9,longest_prefix,30.0,14.69,14.99965,0.48252,0.41755,1.97228,0.03691,0.23133,0.18186,0.03617,0.00000,0.04200,0.10527
0.9,dualmap,0.0,14.88,0.00000,0.72055,0.21600,1.19340,0.00000,0.00000,0.00000,0.00026,0.00000,0.28814,0.52801
0.9,dualmap,0.5,14.88,0.24682,0.71961,0.21600,1.27796,0.00140,0.00307,0.00011,0.00168,0.00000,0.21028,0.45425
0.9,dualmap,1.0,14.88,0.49459,0.71961,0.21600,1.27796,0.00293,0.00463,0.00069,0.00358,0.00000,0.21028,0.45425
0.9,dualmap,2.0,14.88,0.99669,0.72052,0.21679,1.24847,0.00563,0.00644,0.00148,0.00605,0.00000,0.21003,0.47790
0.9,dualmap,5.0,14.88,2.49941,0.71202,0.21859,1.23455,0.01300,0.01619,0.00564,0.01372,0.00000,0.30012,0.55159
0.9,dualmap,10.0,14.88,5.01076,0.69021,0.21600,1.17447,0.02937,0.02881,0.01413,0.02967,0.00000,0.10696,0.17503
0.9,dualmap,30.0,14.88,14.99965,0.66239,0.23190,1.52589,0.01565,0.36919,0.04216,0.01584,0.00000,0.15838,0.31642
0.9,p2c,reference,nan,0.00000,0.41119,0.66400,2.76437,0.00000,0.00000,0.24496,0.00467,0.00000,0.02435,0.07708
0.9,round_robin,reference,nan,0.00000,0.41703,0.60000,2.02314,0.00000,0.00000,0.24167,0.00229,0.00000,0.00587,0.07341
